loan_amnt,term,int_rate,installment,grade,emp_length,annual_inc,issue_d,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,fico_score,initial_list_status_w,'application_type_Joint App',ratio_loan_amnt_annual_inc,ratio_open_acc_total_acc,diff_issue_d_earliest_cr_line,ratio_pub_rec_diff_issue_d_earliest_cr_line,ratio_pub_rec_bankruptcies_diff_issue_d_earliest_cr_line,ratio_pub_rec_bankruptcies_pub_rec,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not_Verified,verification_status_Source_Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,class
10000,36,9.17,318.79,2,5,58000,201409,30.06,200210,7,0,3472,30.2,10,0,0,757,0,0,0.172414,0.7,143,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,60,8.38,409.18,2,10,85000,201512,10.84,200105,10,0,3533,7.1,27,3,0,802,1,0,0.235294,0.37037,175,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12500,60,13.67,288.72,3,10,60000,201606,23.24,199404,7,0,13930,63.9,20,4,0,662,1,0,0.208333,0.35,266,0,0,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,36,14.31,686.57,3,3,110000,201501,17.12,200311,20,0,27866,51.5,51,2,0,687,0,0,0.181818,0.392157,134,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15000,36,6.49,459.67,1,10,81500,201602,18.26,199311,12,0,32602,45.3,24,5,0,762,1,0,0.184049,0.5,267,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,36,9.93,161.18,2,10,115000,201706,10.17,199306,8,0,10573,94.4,14,2,0,717,0,0,0.043478,0.571429,288,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4500,36,13.67,153.08,3,10,45000,201512,33.17,199406,8,0,6670,90.1,15,0,0,677,1,0,0.1,0.533333,258,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19200,36,6.99,592.76,1,1,73000,201501,23.75,199310,13,0,15593,62.6,32,0,0,717,0,0,0.263014,0.40625,255,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35000,60,11.67,772.74,2,4,76000,201409,19.47,198611,12,0,29279,50.1,29,7,0,717,1,0,0.460526,0.413793,334,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8000,36,12.99,269.52,3,1,66000,201410,22.78,199209,12,0,8433,83.5,16,0,0,662,1,0,0.121212,0.75,265,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9775,36,10.78,319.01,2,3,30000,201602,13.6,201211,8,0,6262,41,8,0,0,667,1,0,0.325833,1,39,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,36,11.39,197.55,2,10,34500,201703,19.27,199609,9,1,6599,57.9,24,1,1,667,0,0,0.173913,0.375,246,0.004065,0.004065,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9600,36,5.32,289.11,1,10,84000,201801,15.9,199605,14,0,6685,8.6,24,1,0,822,1,0,0.114286,0.583333,260,0,0,-1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9250,36,11.39,304.55,2,10,62000,201703,4.01,198204,6,2,5009,56.9,18,0,1,662,1,0,0.149194,0.333333,419,0.004773,0.002387,0.5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,60,19.19,520.91,5,3,125000,201508,22.81,199611,20,0,19700,75.8,40,0,0,667,1,0,0.16,0.5,225,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6100,36,15.61,213.29,3,10,46000,201310,34.91,200008,9,0,5946,73.4,45,0,0,702,0,0,0.132609,0.2,158,0,0,-1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10400,60,17.57,261.67,4,10,45000,201409,14.37,198801,11,0,8794,24.6,28,3,0,702,0,0,0.231111,0.392857,320,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000,36,14.49,413,3,0,120000,201405,23.28,200309,21,0,3832,23.9,37,0,0,667,1,0,0.1,0.567568,128,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28000,36,9.8,900.86,2,2,125000,201601,20.71,199406,22,0,33421,82,36,3,0,677,1,0,0.224,0.611111,259,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,36,12.85,336.22,2,4,30000,201401,21.84,199909,10,1,8411,74.4,25,0,0,692,1,0,0.333333,0.4,172,0.005814,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8750,36,12.49,292.68,2,10,75000,201408,6.19,200401,21,0,7182,65.3,34,0,0,672,1,0,0.116667,0.617647,127,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13600,36,15.61,475.53,4,6,50400,201407,21.74,199704,14,0,24277,52.8,27,3,0,672,1,0,0.269841,0.518519,207,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3000,36,14.31,102.99,3,10,56000,201501,20.08,199906,6,0,2408,38.2,15,0,0,677,1,0,0.053571,0.4,187,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1200,36,13.65,40.81,3,2,43000,201403,27.57,199901,13,0,9956,94.8,22,0,0,682,0,0,0.027907,0.590909,182,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19200,36,12.59,643.14,3,2,78562,201511,12.88,200109,6,0,9860,57.3,24,5,0,672,1,0,0.244393,0.25,170,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16825,36,18.24,610.3,4,10,56139.2,201405,27.94,198801,24,0,38094,41.7,55,3,0,662,1,0,0.299701,0.436364,316,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,36,5.32,301.15,1,0,41000,201604,22.57,200708,11,0,5645,17.1,17,0,0,772,1,0,0.243902,0.647059,104,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21000,36,8.18,659.81,2,10,110000,201504,11,199008,9,0,45540,63.2,33,4,0,747,0,0,0.190909,0.272727,296,0,0,-1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,36,14.99,173.31,3,2,35000,201501,9.92,200911,10,0,3742,37,13,2,0,667,1,0,0.142857,0.769231,62,0,0,-1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,36,10.91,326.97,2,1,50000,201706,20.69,200407,13,0,10451,45.4,16,1,0,677,1,0,0.2,0.8125,155,0,0,-1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23625,60,18.99,612.72,5,4,112590.4,201512,19.46,199410,19,1,10495,25,31,2,1,687,1,0,0.209831,0.612903,254,0.003937,0.003937,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19200,60,12.99,436.77,3,10,120000,201410,16.85,200503,9,0,29502,91.3,20,1,0,672,1,0,0.16,0.45,115,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16000,36,5.31,481.77,1,8,120000,201803,11.79,200607,17,0,8399,15.5,28,2,0,722,1,0,0.133333,0.607143,140,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35000,36,16.99,1247.68,4,10,80000,201510,18.31,200508,13,0,11554,36.4,16,0,0,707,1,0,0.4375,0.8125,122,0,0,-1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27500,36,9.17,876.68,2,4,130000,201407,13.73,197310,18,0,45637,71.8,38,3,0,687,1,0,0.211538,0.473684,489,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,36,10.99,163.67,2,2,70000,201407,10.12,199506,22,0,25662,33,49,4,0,702,0,0,0.071429,0.44898,229,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25000,60,8.39,511.59,1,10,58000,201410,4.03,199506,6,0,109093,28.7,28,1,0,777,1,0,0.431034,0.214286,232,0,0,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18000,36,11.53,593.83,2,8,52000,201510,28.57,200609,22,0,7388,45,35,0,0,682,1,0,0.346154,0.628571,109,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24000,60,8.67,494.37,2,3,62000,201412,16.2,200410,9,0,26454,71.9,29,1,0,702,1,0,0.387097,0.310345,122,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13500,36,7.26,418.45,1,7,36000,201509,8.17,200609,7,0,7092,47.6,13,0,0,712,0,0,0.375,0.538462,108,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2750,36,15.61,96.16,3,9,49081.6,201404,23.62,199502,9,1,6658,45.6,45,0,1,662,1,0,0.056029,0.2,230,0.004348,0.004348,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000,36,16.99,213.89,4,10,50000,201401,22.49,199311,8,0,3109,88.8,24,6,0,677,1,0,0.12,0.333333,242,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15000,36,10.99,491.01,2,10,42000,201502,22.8,199003,11,3,7143,76,40,1,1,662,0,0,0.357143,0.275,299,0.010033,0.003344,0.333333,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15600,36,10.99,510.66,2,3,50000,201509,30.53,200409,8,0,10328,70.7,24,0,0,687,0,0,0.312,0.333333,132,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8100,36,14.03,276.96,3,10,62000,201805,27.24,199607,10,0,33474,82.9,23,1,0,682,1,0,0.130645,0.434783,262,0,0,-1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17000,36,6.03,517.41,1,2,75000,201405,5.2,199910,12,0,427,0.7,36,3,0,812,1,0,0.226667,0.333333,175,0,0,-1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2750,36,19.99,102.19,5,10,36700,201508,29.5,200101,8,0,30488,65.8,27,4,0,717,0,0,0.074932,0.296296,175,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,36,10.64,651.37,2,2,63000,201309,18.83,200805,9,0,11508,25,16,0,0,692,0,0,0.31746,0.5625,64,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000,36,9.49,384.34,2,9,88000,201501,8.9,200501,14,0,23920,47.4,29,1,0,682,0,0,0.136364,0.482759,120,0,0,-1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24000,36,18.25,870.68,4,8,75000,201602,21.26,200203,18,0,16903,75.8,22,1,0,672,1,0,0.32,0.818182,167,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35000,36,9.17,1115.77,2,3,140000,201504,19.5,199806,28,0,54948,57.7,61,3,0,687,1,0,0.25,0.459016,202,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28000,36,6.49,858.05,1,10,123000,201411,29.87,197610,8,0,15339,21.5,45,3,0,812,1,0,0.227642,0.177778,457,0,0,-1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6025,36,10.91,197,2,7,48300,201705,2.91,200212,6,1,3923,13.6,8,0,1,707,1,0,0.124741,0.75,173,0.00578,0.00578,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6800,36,11.99,225.83,2,10,99000,201310,9.62,200110,11,1,9016,45.8,28,1,1,662,0,0,0.068687,0.392857,144,0.006944,0.006944,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,36,9.16,223.12,2,10,54000,201602,16.51,200606,10,0,5981,25.9,24,2,0,752,1,0,0.12963,0.416667,116,0,0,-1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8400,36,12.99,282.99,3,4,66000,201502,14.4,200809,7,0,1834,7,11,0,0,662,1,0,0.127273,0.636364,77,0,0,-1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,36,13.99,102.52,3,7,25000,201502,30.39,200909,6,0,2847,64.7,7,0,0,662,0,0,0.12,0.857143,65,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,36,9.17,318.79,2,8,42000,201503,13.1,200112,12,0,19559,39.8,24,0,0,687,0,0,0.238095,0.5,159,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17000,36,12.61,569.61,3,1,82000,201805,25.48,199601,16,1,5935,18.6,38,3,1,727,1,0,0.207317,0.421053,268,0.003731,0.003731,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16000,36,6.49,490.32,1,10,60000,201604,10.67,200207,10,1,3046,20.4,31,0,1,692,1,0,0.266667,0.322581,165,0.006061,0.006061,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12825,36,14.49,441.39,3,3,42000,201406,27.89,200407,8,0,9214,49.8,41,3,0,687,0,0,0.305357,0.195122,119,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27100,60,12.49,609.56,2,6,84531,201404,24.39,200006,9,0,24417,62.3,28,1,0,742,0,0,0.320592,0.321429,166,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000,36,7.62,186.97,1,4,89000,201404,16.3,200705,7,0,5650,34.7,12,0,0,722,1,0,0.067416,0.583333,83,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15000,36,11.44,494.22,2,10,43000,201411,15.03,200509,6,0,11029,65.6,10,0,0,707,0,0,0.348837,0.6,110,0,0,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15000,36,21.49,568.91,4,3,40000,201701,14.43,200901,7,0,1872,13.8,15,0,0,707,0,0,0.375,0.466667,96,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14400,36,6.68,442.53,1,10,100000,201503,15.97,200503,13,0,15541,55.1,18,1,0,707,1,0,0.144,0.722222,120,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,36,15.77,700.88,4,4,80000,201601,14.57,200307,27,0,14151,49.5,63,0,0,662,0,0,0.25,0.428571,150,0,0,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31200,36,16.02,1097.21,3,10,82000,201705,24.92,200006,25,0,24132,48.1,68,1,0,697,0,0,0.380488,0.367647,203,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,36,13.58,679.48,3,10,135000,201802,16.65,198711,37,0,49844,30.8,51,1,0,727,1,0,0.148148,0.72549,363,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28000,60,14.99,665.98,3,10,117000,201701,15.71,200206,9,0,18700,89.9,20,1,0,717,1,1,0.239316,0.45,175,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000,36,12.49,200.7,2,7,124200,201406,12.63,199206,13,0,6583,54.9,28,0,0,662,1,0,0.048309,0.464286,264,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8000,36,13.99,273.39,3,8,33775,201508,27.22,200408,21,0,3535,19,34,0,0,717,0,0,0.236862,0.617647,132,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40000,36,11.47,1318.47,2,10,125000,201605,25.28,199208,15,0,40030,64,29,4,0,727,0,0,0.32,0.517241,285,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,36,8.49,473.45,2,6,110000,201512,13.24,200212,16,1,19029,41.4,33,4,1,672,1,0,0.136364,0.484848,156,0.00641,0.00641,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12800,36,11.55,422.4,2,10,70000,201309,6.09,200008,18,0,18157,22.7,27,2,0,722,0,0,0.182857,0.666667,157,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000,36,9.17,191.28,2,2,31000,201505,16.38,200408,23,0,6836,63.3,31,0,0,677,0,0,0.193548,0.741935,129,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,36,12.29,333.53,3,10,41000,201509,18.04,200110,8,0,22831,67.5,10,0,0,697,0,0,0.243902,0.8,167,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10800,36,11.67,357.02,2,3,75000,201406,9.67,200904,8,0,5758,35.5,13,0,0,662,0,0,0.144,0.615385,62,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33425,60,19.05,867.99,4,8,75000,201302,15.46,199610,7,0,34850,88.2,10,1,0,687,0,0,0.445667,0.7,196,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35000,36,15.61,1223.77,3,10,106000,201312,19.97,199804,11,0,15336,64.4,33,3,0,692,1,0,0.330189,0.333333,188,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9775,36,13.67,332.53,3,8,47500,201511,35.98,200305,9,0,20013,64.8,22,0,0,662,1,0,0.205789,0.409091,150,0,0,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,36,10.16,69.54,2,10,32000,201211,22.61,199103,16,0,20540,58,35,5,0,697,0,0,0.067187,0.457143,260,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000,36,10.91,392.36,2,10,85000,201705,16.01,198603,11,0,12171,46.5,25,1,0,677,1,0,0.141176,0.44,374,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35000,60,16.29,856.54,4,10,85000,201406,16.5,199409,15,0,43040,80.9,50,3,0,687,1,0,0.411765,0.3,237,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8000,36,16.2,282.05,3,10,50000,201310,24.17,200305,10,0,11689,54.9,21,3,0,697,0,0,0.16,0.47619,125,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19550,36,17.76,704.43,4,1,78000,201311,13.49,200210,8,1,13619,71.7,16,0,1,677,0,0,0.250641,0.5,133,0.007519,0.007519,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,36,11.48,659.33,2,2,66000,201601,15.13,200102,9,0,10767,58.8,23,3,0,692,1,0,0.30303,0.391304,179,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16000,60,22.45,446.01,5,10,90000,201603,4.79,200406,10,0,13168,66.2,29,5,0,667,1,0,0.177778,0.344828,141,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40000,36,11.49,1318.86,2,8,90000,201703,21.38,199801,18,0,28977,22.5,35,2,0,752,1,0,0.444444,0.514286,230,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4800,36,5.32,144.56,1,10,91000,201604,25.77,199609,13,0,24079,61.7,32,2,0,722,1,0,0.052747,0.40625,235,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24000,36,12.62,804.27,3,10,140000,201707,9.94,200306,12,7,18122,80.9,21,1,0,662,1,0,0.171429,0.571429,169,0.04142,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
