dur,proto_tcp,proto_udp,proto_other,service_none,service_http,service_dns,service_other,state_FIN,state_INT,state_other,sbytes,dbytes,rate,sloss,dloss,sjit,djit,swin,stcpb,dtcpb,dwin,smean,dmean,trans_depth,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,label
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.419355,0.428571,0.428571,0.222222,0.419355,0.428571,0.42623,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.467742,0.55102,0.530612,0.222222,0.483871,0.55102,0.47541,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.166667,0,0,0,0,0,0,0,0,0.019714,0,0,0.274194,0.346939,0.346939,0.377778,0.274194,0.367347,0.278689,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.125,0,0,0,0,0,0,0,0,0.019714,0,0,0.225806,0.285714,0.285714,0.311111,0.225806,0.326531,0.229508,1
0.012436,1,0,0,0,1,0,0,1,0,0,0.000075,0.000164,0.000023,0.000501,0.000761,0.002997,0.000704,1,0.721627,0.029432,1,0.03739,0.099451,0.5,0.048387,0.020408,0.020408,0.022222,0.048387,0.020408,0.04918,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.177419,0.061224,0.040816,0.044444,0.241935,0.061224,0.180328,1
0.760827,0,0,1,1,0,0,0,0,1,0,0.000117,0,0,0,0,0.001873,0,0,0,0,0,0.024473,0,0,0,0,0,0,0,0.020408,0,1
0.01596,1,0,0,0,1,0,0,1,0,0,0.000069,0.00005,0.000018,0.000501,0.000381,0.003824,0.001182,1,0.743971,0.554347,1,0.033311,0.030178,0.5,0,0,0,0,0,0.020408,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.564516,0.632653,0.632653,0.311111,0.564516,0.632653,0.57377,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.435484,0.244898,0.244898,0.266667,0.435484,0.244898,0.442623,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.1,0,0,0,0,0,0,0,0,0.048946,0,0,0.129032,0.020408,0,0,0.177419,0.020408,0.131148,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.1,0,0,0,0,0,0,0,0,0.048946,0,0,0.177419,0.081633,0.061224,0.066667,0.209677,0.081633,0.180328,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.125,0,0,0,0,0,0,0,0,0.048946,0,0,0.193548,0.061224,0.061224,0.066667,0.193548,0.081633,0.196721,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.258065,0.306122,0.306122,0.333333,0.258065,0.306122,0.262295,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,1,0,0,0,0,0,0,0,0,0.019714,0,0,0.241935,0.306122,0.306122,0.333333,0.258065,0.306122,0.245902,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.333333,0,0,0,0,0,0,0,0,0.048946,0,0,0.064516,0,0,0,0.064516,0,0.065574,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.258065,0.346939,0.326531,0.355556,0.258065,0.326531,0.262295,1
0.011865,0,0,1,1,0,0,0,0,0,1,0.000044,0.000052,0.000007,0,0,0.00023,0,0,0,0,0,0.066621,0.1262,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.516129,0.653061,0.653061,0.333333,0.516129,0.653061,0.52459,1
0.011104,1,0,0,1,0,0,0,1,0,0,0.000049,0.00005,0.000026,0.000501,0.000381,0.003715,0.000681,1,0.860279,0.102118,1,0.019035,0.030178,0,0,0,0,0,0,0,0,1
0.022008,1,0,0,0,0,0,1,1,0,0,0.000073,0.000096,0.000019,0.001002,0.001523,0.003604,0.000704,1,0.090335,0.120627,1,0.020394,0.039095,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,1,0,0,0,0,0,0,0,0,0.048946,0,0,0.016129,0,0,0,0.016129,0,0.016393,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.1,0,0,0,0,0,0,0,0,0.048946,0,0,0.129032,0.102041,0.061224,0.066667,0.193548,0.102041,0.131148,1
0.024045,1,0,0,0,1,0,0,1,0,0,0.000075,0.000174,0.000012,0.000501,0.000761,0.006275,0.001742,1,0.657155,0.361843,1,0.038069,0.105624,0.5,0,0.020408,0,0,0,0.510204,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.403226,0.081633,0.081633,0.088889,0.403226,0.081633,0.409836,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.166667,0,0,0,0,0,0,0,0,0.019714,0,0,0.387097,0.142857,0.142857,0.155556,0.387097,0.142857,0.393443,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.612903,0.22449,0.22449,0.244444,0.612903,0.22449,0.622951,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.129032,0.163265,0.163265,0.177778,0.129032,0.163265,0.131148,1
0.026413,1,0,0,1,0,0,0,1,0,0,0.000047,0.000038,0.000009,0.000501,0.000381,0.008055,0.002781,1,0.161732,0.569103,1,0.017675,0.030864,0,0.080645,0,0,0,0.096774,0.020408,0,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.25,0,0,0,0,0,0,0,0,0.048946,0,0,0.016129,0,0,0,0.016129,0,0.016393,1
0.055037,1,0,0,0,0,0,1,1,0,0,0.000107,0.000235,0.000013,0.001753,0.003426,0.007675,0.066481,1,0.254013,0.637334,1,0.016995,0.052126,0,0,0.22449,0,0,0.016129,0.020408,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000007,0,0.333333,0,0,0,0,0,0,0,0,0.022434,0,0,0.016129,0,0,0,0.016129,0,0.016393,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.333333,0,0,0,0,0,0,0,0,0.048946,0,0,0.048387,0.020408,0.020408,0.022222,0.064516,0.020408,0.04918,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.25,0,0,0,0,0,0,0,0,0.019714,0,0,0.241935,0.306122,0.306122,0.333333,0.241935,0.306122,0.245902,1
0.019984,1,0,0,1,0,0,0,1,0,0,0.000049,0.00005,0.000014,0.000501,0.000381,0.005007,0.001275,1,0.810951,0.36704,1,0.019035,0.030178,0,0,0,0,0,0,0,0,1
0.006219,1,0,0,0,1,0,0,1,0,0,0.000074,0.000038,0.00004,0.000501,0.000381,0.002083,0.000619,1,0.574835,0.215507,1,0.03671,0.030864,0.5,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.5,0,0,0,0,0,0,0,0,0.019714,0,0,0.419355,0.306122,0.306122,0.333333,0.419355,0.326531,0.42623,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.451613,0.204082,0.204082,0.222222,0.451613,0.204082,0.459016,1
0.006055,1,0,0,0,1,0,0,1,0,0,0.003332,0.00005,0.000113,0.003506,0.000381,0.000819,0.000373,1,0.550474,0.476642,1,0.681849,0.030178,0.5,0,0,0,0,0,0.693878,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.177419,0.163265,0.163265,0.044444,0.193548,0.163265,0.180328,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.096774,0.102041,0.040816,0.044444,0.177419,0.102041,0.098361,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.209677,0.265306,0.265306,0.288889,0.209677,0.285714,0.213115,1
0,0,1,0,1,0,0,0,0,1,0,0.000097,0,1,0,0,0,0,0,0,0,0,0.342624,0,0,0.048387,0.061224,0,0,0.032258,0,0.131148,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.5,0.306122,0.306122,0.333333,0.5,0.306122,0.508197,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.016129,0.020408,0.020408,0.022222,0.016129,0.040816,0.016393,1
0,0,1,0,1,0,0,0,0,1,0,0.00013,0,0.1,0,0,0,0,0,0,0,0,0.462271,0,0,0,0,0,0,0,0,0,1
0.010706,1,0,0,1,0,0,0,1,0,0,0.000098,0.000038,0.000023,0.000501,0.000381,0.002168,0.000798,1,0.059701,0.919804,1,0.054385,0.030864,0,0,0,0,0,0,0,0.016393,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.5,0,0,0,0,0,0,0,0,0.048946,0,0,0.129032,0.061224,0.020408,0.022222,0.193548,0.061224,0.131148,1
0,0,1,0,1,0,0,0,0,1,0,0.000012,0,1,0,0,0,0,0,0,0,0,0.038069,0,0,0,0,0,0,0,0.265306,0,1
0.033245,1,0,0,1,0,0,0,1,0,0,0.000067,0.000038,0.000008,0.000501,0.000381,0.009109,0.002997,1,0.640298,0.910069,1,0.031951,0.030864,0,0.096774,0,0,0,0.016129,0,0.032787,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.1,0,0,0,0,0,0,0,0,0.019714,0,0,0.467742,0.326531,0.326531,0.355556,0.467742,0.326531,0.47541,1
0.017111,1,0,0,1,0,0,0,1,0,0,0.000097,0.000096,0.000024,0.001002,0.001523,0.002755,0.000633,1,0.820428,0.843837,1,0.032631,0.039095,0,0.064516,0,0,0,0.048387,0.020408,0.04918,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.370968,0.306122,0.306122,0.333333,0.370968,0.306122,0.377049,1
0.020818,1,0,0,0,0,0,1,1,0,0,0.002943,0.000265,0.000049,0.004257,0.003045,0.001412,0.000318,1,0.82185,0.486562,1,0.507138,0.058299,0,0,0.040816,0,0,0,0.020408,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.25,0,0,0,0,0,0,0,0,0.019714,0,0,0.274194,0.346939,0.346939,0.377778,0.274194,0.387755,0.278689,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.516129,0.306122,0.306122,0.333333,0.516129,0.306122,0.52459,1
0.013216,1,0,0,1,0,0,0,1,0,0,0.000957,0.000326,0.000052,0.002254,0.002665,0.001279,0.000286,1,0.573687,0.977736,1,0.267165,0.087791,0,0.016129,0,0,0,0,0,0.016393,1
0.000001,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.033333,0,0,0,0,0,0,0,0,0.019714,0,0,0.516129,0.653061,0.653061,0.333333,0.516129,0.653061,0.52459,1
0.012322,1,0,0,0,0,0,1,1,0,0,0.00003,0.000128,0.00002,0.00025,0.000761,0.00455,0.000908,1,0.104865,0.977455,1,0.012237,0.078189,0,0,0.020408,0,0,0.016129,0.040816,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.2,0,0,0,0,0,0,0,0,0.019714,0,0,0.516129,0.653061,0.653061,0.355556,0.516129,0.673469,0.52459,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.25,0,0,0,0,0,0,0,0,0.048946,0,0,0.048387,0.020408,0.020408,0.022222,0.048387,0.020408,0.04918,1
0.175276,1,0,0,0,1,0,0,1,0,0,0.00013,0.000942,0.000003,0.000751,0.001523,0.001081,0.285926,1,0.819975,0.032528,1,0.041468,0.32716,0.5,0.032258,0.020408,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.2,0,0,0,0,0,0,0,0,0.019714,0,0,0.483871,0.22449,0.22449,0.244444,0.483871,0.22449,0.491803,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.2,0,0,0,0,0,0,0,0,0.019714,0,0,0.66129,0.632653,0.632653,0.333333,0.66129,0.632653,0.672131,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.142857,0,0,0,0,0,0,0,0,0.019714,0,0,0.241935,0.306122,0.306122,0.333333,0.241935,0.346939,0.245902,1
0,0,1,0,1,0,0,0,0,1,0,0.000112,0,0.090909,0,0,0,0,0,0,0,0,0.397689,0,0,0.048387,0,0,0,0.016129,0.020408,0.016393,1
0.014223,1,0,0,1,0,0,0,1,0,0,0.000046,0.00005,0.00002,0.000501,0.000381,0.00354,0.000901,1,0.097577,0.704128,1,0.016995,0.030178,0,0,0,0,0,0,0,0,1
0.032832,1,0,0,0,1,0,0,1,0,0,0.000257,0.00005,0.000009,0.000501,0.000381,0.010062,0.002988,1,0.809747,0.975009,1,0.167233,0.030178,0.5,0,0,0.020408,0,0,0.040816,0,1
0,0,1,0,1,0,0,0,0,1,0,0.000158,0,0.333333,0,0,0,0,0,0,0,0,0.560843,0,0,0.080645,0,0,0,0.064516,0,0.065574,1
0.973335,0,1,0,0,0,1,0,0,1,0,0.000741,0,0.000001,0,0,0.000655,0,0,0,0,0,0.050986,0,0,0.016129,0.020408,0.020408,0.022222,0.016129,0.020408,0.016393,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.096774,0.020408,0.020408,0.022222,0.096774,0.428571,0.098361,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.333333,0,0,0,0,0,0,0,0,0.048946,0,0,0.096774,0.040816,0.040816,0.044444,0.096774,0.061224,0.098361,1
0,0,1,0,1,0,0,0,0,1,0,0.000035,0,0.333333,0,0,0,0,0,0,0,0,0.121006,0,0,0.016129,0.020408,0,0,0.016129,0.020408,0.065574,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.125,0,0,0,0,0,0,0,0,0.019714,0,0,0.467742,0.244898,0.244898,0.266667,0.467742,0.244898,0.47541,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.048387,0.020408,0.020408,0.022222,0.048387,0.020408,0.04918,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.333333,0,0,0,0,0,0,0,0,0.019714,0,0,0.435484,0.346939,0.346939,0.377778,0.435484,0.346939,0.442623,1
0.003381,1,0,0,0,1,0,0,1,0,0,0.000079,0.000038,0.000074,0.000501,0.000381,0.000766,0.000248,1,0.058201,0.455076,1,0.040109,0.030864,0.5,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.580645,0.55102,0.55102,0.288889,0.580645,0.55102,0.590164,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.2,0,0,0,0,0,0,0,0,0.019714,0,0,0.290323,0.326531,0.326531,0.355556,0.290323,0.367347,0.295082,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.333333,0,0,0,0,0,0,0,0,0.048946,0,0,0.177419,0.102041,0.081633,0.088889,0.258065,0.102041,0.180328,1
0.014826,1,0,0,0,0,0,1,1,0,0,0.005703,0.000294,0.0001,0.007263,0.003045,0.000775,0.000207,1,0.58507,0.825075,1,0.617947,0.05487,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.016315,0,0,0.032258,0.020408,0.020408,0.022222,0.016129,0.020408,0.016393,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.209677,0.081633,0.081633,0.044444,0.209677,0.081633,0.213115,1
0,0,1,0,1,0,0,0,0,1,0,0.000097,0,0.090909,0,0,0,0,0,0,0,0,0.342624,0,0,0.064516,0,0,0,0.064516,0.285714,0.065574,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.725806,0.836735,0.836735,0.377778,0.725806,0.836735,0.737705,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.064516,0,0,0,0.064516,0.285714,0.065574,1
0.019353,1,0,0,0,1,0,0,1,0,0,0.000086,0.000355,0.000016,0.000501,0.000761,0.004094,0.001312,1,0.141129,0.775149,1,0.03467,0.215364,0.5,0.016129,0,0,0,0,0.061224,0,1
0.013005,1,0,0,1,0,0,0,1,0,0,0.000049,0.00005,0.000022,0.000501,0.000381,0.004064,0.000717,1,0.097259,0.731512,1,0.019035,0.030178,0,0.129032,0,0,0,0,0.020408,0,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,1,0,0,0,0,0,0,0,0,0.048946,0,0,0.016129,0,0,0,0.016129,0,0.016393,1
0.999683,1,0,0,1,0,0,0,0,0,1,1,0.007438,0.000153,1,0.002284,0.000769,0.000359,1,0.998748,0.295341,1,0.874915,0.029492,0,0,0.020408,0.020408,0.022222,0.016129,0.020408,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.5,0,0,0,0,0,0,0,0,0.019714,0,0,0.419355,0.367347,0.367347,0.222222,0.419355,0.367347,0.42623,1
0.019235,1,0,0,0,0,0,1,1,0,0,0.001318,0.00027,0.000042,0.003005,0.003045,0.002333,0.000543,1,0.353716,0.345961,1,0.295717,0.065844,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.125,0,0,0,0,0,0,0,0,0.019714,0,0,0.403226,0.306122,0.306122,0.333333,0.403226,0.306122,0.409836,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.2,0,0,0,0,0,0,0,0,0.019714,0,0,0.274194,0.346939,0.346939,0.222222,0.274194,0.367347,0.278689,1
0,0,0,1,1,0,0,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.016315,0,0,0.016129,0.020408,0.020408,0.022222,0.016129,0.020408,0.016393,1
0.015524,1,0,0,1,0,0,0,1,0,0,0.000235,0.000038,0.000016,0.000501,0.000381,0.003904,0.001414,1,0.529959,0.478626,1,0.152277,0.030864,0,0.048387,0,0,0,0.032258,0.020408,0.032787,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.125,0,0,0,0,0,0,0,0,0.019714,0,0,0.435484,0.061224,0.061224,0.066667,0.435484,0.061224,0.442623,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.142857,0,0,0,0,0,0,0,0,0.019714,0,0,0.064516,0.040816,0.040816,0.044444,0.064516,0.142857,0.065574,1
0.010268,1,0,0,0,1,0,0,1,0,0,0.000651,0.000159,0.000037,0.001002,0.000761,0.002391,0.000482,1,0.143232,0.507206,1,0.315432,0.076818,0.5,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.166667,0,0,0,0,0,0,0,0,0.019714,0,0,0.451613,0.326531,0.326531,0.355556,0.451613,0.326531,0.459016,1
0.003153,1,0,0,1,0,0,0,1,0,0,0.000068,0.000038,0.000079,0.000501,0.000381,0.000742,0.000273,1,0.547073,0.317063,1,0.032631,0.030864,0,0.032258,0.020408,0.020408,0,0.032258,0.020408,0.032787,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.080645,0.040816,0.040816,0.044444,0.080645,0.061224,0.081967,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,1,0,0,0,0,0,0,0,0,0.019714,0,0,0.451613,0.244898,0.244898,0.266667,0.451613,0.244898,0.459016,1
0.004324,1,0,0,0,1,0,0,1,0,0,0.002414,0.00005,0.000127,0.002504,0.000381,0.000574,0.000249,1,0.282745,0.379614,1,0.645139,0.030178,0.5,0,0,0,0,0,0,0,1
0.012907,1,0,0,1,0,0,0,1,0,0,0.000071,0.00005,0.000022,0.000501,0.000381,0.003754,0.000739,1,0.715005,0.300789,1,0.03467,0.030178,0,0.048387,0,0,0,0.016129,0.020408,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.125,0,0,0,0,0,0,0,0,0.019714,0,0,0.516129,0.714286,0.653061,0.333333,0.516129,0.673469,0.52459,1
0,0,1,0,1,0,0,0,0,1,0,0.000012,0,0.111111,0,0,0,0,0,0,0,0,0.038069,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.064516,0.020408,0.020408,0.022222,0.064516,0.081633,0.065574,1
0,0,1,0,1,0,0,0,0,1,0,0.000012,0,0.1,0,0,0,0,0,0,0,0,0.038069,0,0,0.016129,0,0,0,0,0.020408,0,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.080645,0.020408,0.020408,0.022222,0.080645,0.326531,0.081967,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.354839,0.346939,0.346939,0.377778,0.354839,0.346939,0.360656,1
